iter	Passed	Remaining
372	148515	90383
373	148984	90028
374	149405	89643
375	149826	89258
376	150194	88841
377	150798	88564
378	151182	88156
379	151906	87945
380	152432	87618
381	152850	87228
382	153196	86798
383	153553	86374
384	154158	86088
385	154711	85772
386	154994	85307
387	155465	84944
388	156022	84629
389	156372	84200
390	156966	83902
391	157227	83426
392	157727	83077
393	158184	82705
394	158675	82350
395	159066	81943
396	159436	81525
397	159873	81141
398	160250	80727
399	160756	80378
400	161106	79950
401	161463	79526
402	161817	79101
403	162306	78742
404	162553	78266
405	162978	77876
406	163383	77476
407	163765	77066
408	164120	76643
409	164623	76288
410	165154	75946
411	165692	75607
412	166160	75234
413	166624	74860
414	167013	74451
415	167490	74082
416	167864	73667
417	168217	73242
418	168586	72826
419	168941	72403
420	169372	72013
421	169712	71584
422	170227	71229
423	170560	70798
424	170959	70395
425	171313	69973
426	171648	69543
427	171864	69067
428	172238	68654
429	172602	68238
430	173013	67840
431	173418	67440
432	173671	66981
433	174013	66558
434	174482	66182
435	174913	65793
436	175397	65422
437	175743	65000
438	176238	64634
439	176521	64189
440	176945	63796
441	177415	63420
442	177882	63041
443	178238	62624
444	178730	62254
445	179307	61913
446	179947	61592
447	180395	61205
448	180927	60846
449	181306	60435
450	181606	59998
451	182072	59616
452	182545	59236
453	182919	58824
454	183281	58408
455	183609	57982
456	184005	57577
457	184393	57170
458	184846	56783
459	185383	56421
460	185839	56034
461	186277	55641
462	186608	55216
463	187123	54846
464	187524	54442
465	187835	54012
466	188171	53590
467	188656	53210
468	189013	52794
469	189384	52382
470	189857	51999
471	190323	51613
472	190791	51227
473	191188	50822
474	191676	50441
475	192189	50066
476	192637	49673
477	192945	49245
478	193475	48873
479	193969	48492
480	194402	48095
481	195023	47744
482	195806	47431
483	196447	47082
484	197191	46756
485	198033	46452
486	198909	46153
487	199473	45780
488	200006	45400
489	200555	45022
490	201042	44630
491	201452	44221
492	201708	43778
493	201992	43342
494	202325	42917
495	203082	42581
496	203501	42174
497	204055	41794
498	204640	41420
499	204910	40982
500	205468	40601
501	206204	40255
502	206921	39903
503	207506	39525
504	208050	39138
505	208583	38748
506	208980	38333
507	209657	37969
508	210169	37574
509	210644	37172
510	211048	36757
511	211553	36360
512	212051	35961
513	212517	35557
514	213004	35156
515	213508	34757
516	213949	34347
517	214333	33929
518	214854	33532
519	215473	33149
520	215881	32734
521	216313	32322
522	216721	31907
523	217200	31502
524	217683	31097
525	218211	30698
526	218735	30299
527	219219	29893
528	219715	29489
529	220252	29090
530	220627	28669
531	220943	28240
532	221300	27818
533	221754	27407
534	222202	26996
535	222643	26584
536	223134	26177
537	223661	25775
538	224220	25375
539	224665	24962
540	224966	24534
541	225413	24121
542	225860	23709
543	226130	23278
544	226826	22890
545	227231	22473
546	227721	22064
547	228166	21650
548	228739	21249
549	229164	20833
550	229807	20436
551	230154	20013
552	230639	19602
553	231187	19196
554	231614	18779
555	231978	18357
556	232312	17934
557	232738	17517
558	233080	17095
559	233506	16679
560	233992	16266
561	234441	15851
562	234787	15430
563	235066	15004
564	235463	14586
565	235928	14172
566	236286	13752
567	236564	13327
568	237053	12915
569	237501	12500
570	237872	12081
571	238184	11659
572	238601	11243
573	239086	10829
574	239420	10409
575	239787	9991
576	240139	9572
577	240457	9152
578	240895	8737
579	241283	8320
580	241743	7905
581	242188	7490
582	242519	7071
583	242950	6656
584	243428	6241
585	244074	5831
586	244615	5417
587	245223	5004
588	245923	4592
589	246533	4178
590	247044	3762
591	247448	3343
592	247968	2927
593	248436	2509
594	248813	2090
595	249282	1673
596	249695	1254
597	250200	836
598	250642	418
599	251144	0
