iter	RMSE
140	29.84796324
141	29.84769369
142	29.84756461
143	29.84723486
144	29.84696361
145	29.84677822
146	29.84657997
147	29.84635259
148	29.84611466
149	29.84594024
150	29.84575117
151	29.84553859
152	29.84540643
153	29.845294
154	29.84513223
155	29.84496851
156	29.84487388
157	29.84473164
158	29.84458834
159	29.84446258
160	29.84438114
161	29.84429981
162	29.84422004
163	29.84408674
164	29.84395528
165	29.84376877
166	29.84370599
167	29.84356003
168	29.84343991
169	29.84326419
170	29.84313523
171	29.84302408
172	29.84286746
173	29.84271047
174	29.84270014
175	29.84240456
176	29.8423205
177	29.84223637
178	29.84209038
179	29.84194054
180	29.84182912
181	29.8417994
182	29.84173581
183	29.8415995
184	29.84155207
185	29.84145661
186	29.84130089
187	29.84126242
188	29.84118839
189	29.84100556
190	29.84089356
191	29.84080957
192	29.84069114
193	29.84056411
194	29.84040188
195	29.84025977
196	29.84014138
197	29.84001084
198	29.8398807
199	29.83970568
200	29.83957684
201	29.83947864
202	29.8393286
203	29.83922729
204	29.83913374
205	29.83901339
206	29.83889412
207	29.83877517
208	29.83861201
209	29.83847564
210	29.83842231
211	29.83839123
212	29.8383185
213	29.83825727
214	29.8382325
215	29.83815387
216	29.83811853
217	29.83805839
218	29.83804856
219	29.837992
220	29.83784925
221	29.83782235
222	29.83769664
223	29.8375652
224	29.83754323
225	29.83739266
226	29.83734141
227	29.8372879
228	29.83723924
229	29.83717016
230	29.83703616
231	29.83697805
232	29.83690519
233	29.83677143
234	29.8366501
235	29.8365479
236	29.83651748
237	29.8364508
238	29.83636674
239	29.83634443
240	29.83632785
241	29.83632721
242	29.83618864
243	29.83608645
244	29.83598438
245	29.83576866
246	29.83576856
247	29.83564696
248	29.83557025
249	29.83545237
250	29.83532883
251	29.83532368
252	29.83518018
253	29.83515076
254	29.8350924
255	29.83497429
256	29.83486985
257	29.83477612
258	29.83472817
259	29.83460969
260	29.8345933
261	29.83451849
262	29.83446311
263	29.83438174
264	29.83435914
265	29.83430813
266	29.83423888
267	29.83419139
268	29.83409474
269	29.83393978
270	29.83381261
271	29.83371707
272	29.83360936
273	29.83350081
274	29.8334456
275	29.8332943
276	29.83319864
277	29.83307018
278	29.83293176
279	29.83285115
280	29.83272252
281	29.8326375
282	29.83257257
283	29.83242701
284	29.83242481
285	29.8323217
286	29.83222432
287	29.83221079
288	29.83204564
289	29.83194722
290	29.83182525
291	29.83171153
292	29.8315957
293	29.83141685
294	29.83140178
295	29.8312358
296	29.83112571
297	29.83101662
298	29.83086055
299	29.83076718
300	29.83062793
301	29.83050742
302	29.83041872
303	29.83025954
304	29.83010996
305	29.82998739
306	29.82981629
307	29.82975361
308	29.82958696
309	29.82943003
310	29.82936572
311	29.82926082
312	29.82920453
313	29.82909792
314	29.8290254
315	29.82884463
316	29.8286995
317	29.8285967
318	29.82848253
319	29.82835712
320	29.82833317
321	29.82819265
322	29.8281451
323	29.8280623
324	29.82787486
325	29.82785824
326	29.82785812
327	29.82776622
328	29.82761084
329	29.82754079
330	29.82743578
331	29.82730125
332	29.82709545
333	29.82694517
334	29.82684463
335	29.82683154
336	29.826699
337	29.82669637
338	29.82669545
339	29.82651688
340	29.82639776
341	29.82631913
342	29.82612874
343	29.82599536
344	29.82580399
345	29.82574804
346	29.8255561
347	29.82555098
348	29.82554995
349	29.82554704
350	29.82554624
351	29.82545436
352	29.82539219
353	29.82535345
354	29.82518728
355	29.82518696
356	29.82518651
357	29.82517818
358	29.82517754
359	29.82505165
360	29.82498136
361	29.82486499
362	29.82486476
363	29.82477386
364	29.82473838
365	29.82455689
366	29.82441096
367	29.82426979
368	29.82426957
369	29.82414594
370	29.82401541
371	29.82389456
372	29.82380007
373	29.82371391
374	29.82367856
375	29.8236029
376	29.82345413
377	29.82326925
378	29.82316348
379	29.82308451
380	29.82301052
381	29.82300806
382	29.82300049
383	29.82300004
384	29.8228088
385	29.82266602
386	29.82265911
387	29.82251775
388	29.82237999
389	29.82222367
390	29.82203051
391	29.82185697
392	29.82168347
393	29.82155154
394	29.82142422
395	29.82136834
396	29.82135072
397	29.82121569
398	29.82105006
399	29.82092163
400	29.82089697
401	29.82084709
402	29.82077875
403	29.82065551
404	29.82065406
405	29.82053891
406	29.82040508
407	29.82030601
408	29.82021557
409	29.82009756
410	29.81995594
411	29.81977829
412	29.81963748
413	29.81949223
414	29.81949053
415	29.81936241
416	29.81920075
417	29.81903817
418	29.81902577
419	29.81900936
420	29.81884488
421	29.8187902
422	29.81866182
423	29.8185695
424	29.81842886
425	29.81825467
426	29.81823054
427	29.81822924
428	29.81822639
429	29.81813478
430	29.81801463
431	29.81788986
432	29.81788981
433	29.81779396
434	29.81763285
435	29.81748725
436	29.81739378
437	29.81733841
438	29.81719482
439	29.8171594
440	29.81703334
441	29.81687263
442	29.81673628
443	29.81673009
444	29.81655273
445	29.81640206
446	29.81624108
447	29.81611332
448	29.81597047
449	29.81579477
450	29.81579348
451	29.81563705
452	29.81549857
453	29.81536433
454	29.81535958
455	29.81534711
456	29.81522948
457	29.81511818
458	29.81507482
459	29.81493396
460	29.81481028
461	29.81467466
462	29.81467455
463	29.81456692
464	29.81452774
465	29.81452368
466	29.81451601
467	29.81442952
468	29.81438061
469	29.8142432
470	29.81406957
471	29.81393694
472	29.8137809
473	29.8136988
474	29.81355121
475	29.81345978
476	29.81329855
477	29.81328997
478	29.81321144
479	29.81309421
480	29.81299597
481	29.81284967
482	29.81272667
483	29.81258192
484	29.81243296
485	29.81229668
486	29.81220824
487	29.81208689
488	29.81200131
489	29.81189728
490	29.811799
491	29.8117393
492	29.8117353
493	29.8117336
494	29.81161361
495	29.81151291
496	29.81136958
497	29.81122306
498	29.81109393
499	29.81109092
500	29.81093754
501	29.81076628
502	29.81069778
503	29.81058807
504	29.8104509
505	29.81037243
506	29.81036177
507	29.81022755
508	29.81014596
509	29.80998361
510	29.80995167
511	29.80980157
512	29.80967395
513	29.80958087
514	29.80949232
515	29.809386
516	29.80931516
517	29.80926506
518	29.80917678
519	29.80901602
520	29.8088761
521	29.80878206
522	29.80876889
523	29.80867834
524	29.8086092
525	29.80851636
526	29.80838652
527	29.80823177
528	29.80818423
529	29.80804112
530	29.80796766
531	29.80795215
532	29.80782824
533	29.80769663
534	29.80764041
535	29.80749766
536	29.8073689
537	29.8072399
538	29.80711812
539	29.80695992
540	29.8069586
541	29.80690062
542	29.80676092
543	29.80675984
544	29.80663507
545	29.80654041
546	29.80647413
547	29.80637248
548	29.80622474
549	29.80608894
550	29.80598134
551	29.80598127
552	29.80584278
553	29.80569442
554	29.80563709
555	29.80559298
556	29.80557261
557	29.80545109
558	29.80540963
559	29.80533882
560	29.80520913
561	29.80508325
562	29.80506105
563	29.80505928
564	29.80502824
565	29.80494625
566	29.80483691
567	29.80483043
568	29.80474378
569	29.80459454
570	29.80452401
571	29.80447195
572	29.8044239
573	29.80431208
574	29.80418592
575	29.80413757
576	29.80412935
577	29.8041248
578	29.80396379
579	29.80389575
580	29.80378531
581	29.8036522
582	29.80350704
583	29.80340741
584	29.80331507
585	29.80317758
586	29.80306953
587	29.80293346
588	29.80279145
589	29.80272188
590	29.80262488
591	29.80258989
592	29.8024947
593	29.80242651
594	29.80228499
595	29.8021724
596	29.80211122
597	29.80198432
598	29.80197656
599	29.80187627
