iter	RMSE
0	63.58048385
1	61.14388139
2	58.84951346
3	56.70086121
4	54.68154936
5	52.78827319
6	51.0373406
7	49.38417073
8	47.84563278
9	46.42557527
10	45.09823775
11	43.86631325
12	42.72383548
13	41.66040052
14	40.6877546
15	39.78197095
16	38.94519584
17	38.16615095
18	37.44803247
19	36.79182912
20	36.187597
21	35.63156195
22	35.12266353
23	34.6590492
24	34.23417514
25	33.84611783
26	33.48530402
27	33.16184477
28	32.86418863
29	32.58907339
30	32.33982637
31	32.11412845
32	31.91135909
33	31.72276691
34	31.55337906
35	31.39818027
36	31.25881025
37	31.13321257
38	31.01630794
39	30.91280041
40	30.81730878
41	30.73130123
42	30.65318631
43	30.58098327
44	30.51523858
45	30.45684638
46	30.40417854
47	30.3564792
48	30.31317573
49	30.27407296
50	30.23832649
51	30.20486358
52	30.17366244
53	30.14592377
54	30.12114403
55	30.09854288
56	30.07756642
57	30.05893227
58	30.0417754
59	30.02651107
60	30.01269528
61	29.99942114
62	29.98728156
63	29.97595838
64	29.96650275
65	29.95783385
66	29.94973866
67	29.94244243
68	29.93570277
69	29.9292484
70	29.92365946
71	29.91817647
72	29.91361037
73	29.90938527
74	29.90569502
75	29.90214933
76	29.89846222
77	29.89520452
78	29.89233182
79	29.88947815
80	29.8869455
81	29.88464873
82	29.88251525
83	29.88078364
84	29.87923745
85	29.87784758
86	29.87608046
87	29.87445055
88	29.87300489
89	29.8717311
90	29.87058072
91	29.86921894
92	29.868415
93	29.8673412
94	29.86658326
95	29.86575358
96	29.86487319
97	29.86422526
98	29.86349892
99	29.86281556
100	29.8621882
101	29.86156882
102	29.86100135
103	29.86045748
104	29.8600001
105	29.8595318
106	29.85904219
107	29.85857496
108	29.85789179
109	29.85739228
110	29.85697887
111	29.85659004
112	29.85610627
113	29.85582961
114	29.85552064
115	29.85517871
116	29.85473091
117	29.854343
118	29.85407549
119	29.85392042
120	29.85352058
121	29.85326151
122	29.85292942
123	29.85248086
124	29.85226217
125	29.85198672
126	29.85157566
127	29.85140061
128	29.85119916
129	29.85094932
130	29.85068392
131	29.85047216
132	29.8503158
133	29.84988957
134	29.84938082
135	29.84909899
136	29.84893443
137	29.848629
138	29.84835512
139	29.848136
